id,name,current_price,stock
16123,ok,$48.76,3
53758,exist,$64.07,0
21923,beautiful,$8.96,6
41405,there,"$23,203.02",7
71127,continue,$42.89,6
84365,down,$37.78,4
24932,kitchen,$0.31,6
75395,government,$8.78,7
8978,interesting,$596.79,5
61863,day,$8.04,4
82524,suddenly,$24.38,0
37389,western,"$35,085.27",2
60812,suddenly,$506.69,0
65636,could,$113.21,1
69651,own,"$30,267.65",4
84908,see,$3.81,2
23588,teacher,"$4,986.47",0
11767,security,"$4,955.62",5
15439,strategy,"$7,533.47",9
77910,talk,$3.67,8
12244,reach,"$47,423.64",8
738,finally,$3.51,1
28774,describe,"$80,334.54",5
51691,part,$99.13,5
56103,green,"$42,599.22",7
80709,learn,"$53,195.07",9
62555,against,"$60,338.65",2
62612,truth,$65.28,4
77079,worker,$103.11,3
4841,get,$2.68,5
36861,night,$1.88,1
60955,require,$407.33,5
31341,wide,"$76,425.78",6
19713,deal,$31.05,2
79568,population,$737.11,0
13117,throughout,"$4,421.79",7
35611,loss,$664.83,7
51447,building,$59.01,2
37931,kid,"$5,651.43",2
46134,media,"$73,402.01",6
24772,eye,"$7,128.97",1
49916,involve,"$3,761.77",8
66061,development,$95.22,5
60031,true,$1.31,7
599,senior,$983.01,9
75731,serious,$58.66,8
18616,character,$2.89,1
54138,sit,$52.50,1
16776,phone,$691.81,1
64694,yeah,"$5,379.40",3
31360,market,$6.16,4
50067,least,$72.03,7
50592,painting,$85.30,1
27971,better,$94.44,5
75824,choose,"$49,800.98",3
54339,book,$0.51,6
15513,shoulder,"$8,757.31",2
34294,statement,"$4,995.18",8
59155,ahead,"$9,335.07",6
26201,clear,$4.39,4
38437,body,"$75,137.25",2
76070,thank,"$5,791.66",2
73995,special,$35.58,2
46837,keep,$47.97,6
13407,cost,$451.68,0
83541,well,$4.42,1
8918,relationship,"$2,080.51",5
81667,become,$54.62,2
52675,meeting,$362.55,9
46334,owner,$3.63,0
44409,receive,"$95,213.11",6
59706,knowledge,$50.87,6
33453,follow,$8.09,1
44031,along,"$82,750.83",8
71054,allow,$839.67,6
61282,day,$31.66,2
20250,wall,$157.00,9
369,attention,$4.88,6
2396,realize,$493.93,8
45097,occur,"$7,734.52",7
79163,people,"$24,741.18",8
45383,four,$247.37,6
72660,each,$6.78,0
62900,discuss,"$26,126.80",0
56341,treatment,"$61,295.91",0
46753,or,"$2,324.30",8
38506,call,"$1,538.36",8
1973,of,$459.18,0
7455,simply,$42.23,1
76556,wonder,$77.24,6
38060,blue,"$40,082.77",3
70888,stand,$917.67,4
11612,shoulder,$887.41,0
10715,maintain,"$59,731.70",3
43982,property,$6.12,4
20618,purpose,"$15,031.47",3
48672,make,"$82,325.80",0
43722,break,"$95,906.21",8
21579,show,"$72,472.04",0
65693,start,$195.12,8
35085,summer,$0.25,9
6051,suddenly,"$8,879.19",9
47038,interview,$940.84,5
40174,outside,$52.41,1
52202,who,$460.50,3
84827,every,"$52,363.64",4
16927,fact,$122.32,2
51952,foot,$72.38,0
45816,next,"$9,549.82",9
68701,return,"$7,522.64",3
36811,peace,$811.90,0
39982,Republican,$674.57,6
48581,defense,"$35,354.65",6
18876,action,"$84,598.50",6
44285,sometimes,$624.44,7
15329,clearly,$776.29,5
81301,pressure,"$6,579.74",2
9294,simple,"$60,373.89",8
21396,society,$278.61,5
79323,himself,"$79,477.72",9
42732,brother,"$9,786.49",0
78330,career,"$6,900.12",0
25669,measure,"$5,427.55",5
15698,dog,$34.30,8
77828,security,"$67,026.70",9
5086,material,$891.27,3
15957,both,$611.50,7
46774,view,$4.87,0
55225,deal,$432.35,9
68521,system,$6.77,7
71590,arrive,$4.24,3
65971,hold,$102.62,8
53512,scene,$1.05,0
42951,drop,$31.35,6
31414,military,$629.67,1
45884,body,"$93,034.81",6
28820,example,"$96,404.24",6
3724,create,"$7,324.34",4
6513,foot,"$70,108.83",6
47657,recently,$594.86,2
22794,current,$89.42,0
21829,bar,$74.14,9
53247,shoulder,$64.23,4
45226,law,$6.42,8
52387,third,"$35,054.38",4
7596,debate,$148.60,8
10953,evidence,"$50,678.76",7
85293,sometimes,$762.53,6
20325,change,$886.12,9
61695,vote,"$10,195.53",1
9478,local,$667.19,4
63718,several,"$25,402.26",9
73509,meeting,"$4,733.97",5
48928,cut,"$65,870.22",6
60986,decide,$70.58,1
71355,board,$87.61,3
34683,available,$736.11,3
12082,shoulder,$36.79,5
61120,ability,$938.71,4
47219,story,$2.64,8
68273,of,"$5,342.16",0
36893,let,$3.38,0
63599,else,$56.34,5
49366,receive,"$28,758.55",8
10651,score,$85.09,4
8663,Mrs,$369.13,3
27276,whole,"$67,700.39",4
65443,among,"$40,344.79",2
77065,herself,"$94,992.14",5
79629,president,"$5,709.10",4
63696,budget,$904.16,2
43386,town,$6.80,8
70977,something,$383.45,9
35981,edge,"$5,008.19",0
64490,military,$51.03,1
30783,everything,"$50,467.46",4
23161,others,"$4,111.39",6
71449,case,$1.57,6
53543,project,$6.94,6
2877,between,$64.63,2
28311,sell,$779.58,5
60416,half,$3.43,4
6028,drive,"$16,114.86",9
62645,sound,$3.38,6
31605,participant,$35.72,1
38394,maybe,"$4,917.92",8
75474,feeling,$481.18,7
53877,sure,$5.94,4
35872,available,$51.79,0
4172,food,$3.11,0
23445,body,"$1,651.79",1
70746,begin,"$73,326.41",0
6739,realize,$40.61,1
77356,arm,"$8,713.98",2
85278,quality,$8.60,0
40663,generation,"$1,387.04",1
5422,member,$743.07,8
46000,among,"$40,264.15",7
35430,address,$317.74,2
65189,believe,"$5,809.06",6
74986,yet,"$2,019.28",3
59103,relationship,$4.12,3
31788,tree,$10.99,1
39405,evidence,"$96,828.69",1
44713,pay,$9.32,0
50680,prevent,$4.58,0
80060,education,$1.51,4
55490,factor,$9.71,7
22199,hour,$4.76,4
20217,meet,"$5,419.38",1
78221,produce,$1.31,2
63192,trade,$45.96,5
43873,language,$3.21,9
81942,seat,"$19,949.25",1
